gender,ssc_percentage,ssc_board,hsc_percentage,hsc_board,hsc_subject,degree_percentage,undergrad_degree,work_experience,emp_test_percentage,specialisation,mba_percent,status,years_experience,skills_match_percent,num_certifications,internship_completed,interview_score,company_tier,job_competition_level
F,59,Central,62,Others,Commerce,77.5,Comm&Mgmt,No,74,Mkt&HR,67,Not Placed,4,55,0,1,88,Mid,Medium
F,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,No,61,Mkt&Fin,64.27,Placed,1,65,3,1,87,Mid,Low
M,64,Others,80,Others,Science,65,Sci&Tech,Yes,69,Mkt&Fin,57.65,Placed,1,87,4,0,83,Mid,Low
M,84,Others,90.9,Others,Science,64.5,Sci&Tech,No,86.04,Mkt&Fin,59.42,Placed,3,96,0,0,87,Startup,High
F,69,Central,62,Central,Science,66,Sci&Tech,No,75,Mkt&HR,67.99,Not Placed,1,91,1,0,99,MNC,Low
F,69,Others,62,Others,Commerce,69,Comm&Mgmt,Yes,67,Mkt&HR,62.35,Placed,1,99,1,0,83,Mid,Low
M,81.7,Others,63,Others,Science,67,Comm&Mgmt,Yes,86,Mkt&Fin,70.2,Placed,5,88,0,0,67,Mid,Low
M,63,Central,67,Central,Commerce,74,Comm&Mgmt,No,82,Mkt&Fin,60.44,Not Placed,3,41,1,1,79,Startup,Medium
M,84,Others,79,Others,Science,68,Sci&Tech,Yes,84,Mkt&Fin,66.69,Placed,5,40,5,1,64,Mid,Medium
M,70,Central,63,Others,Science,70,Sci&Tech,Yes,55,Mkt&Fin,62,Placed,5,87,5,1,76,Startup,High
F,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,Yes,78.74,Mkt&Fin,76.18,Placed,3,51,0,1,83,MNC,Low
M,62,Others,63,Others,Commerce,64,Comm&Mgmt,No,67,Mkt&Fin,57.03,Placed,0,44,4,0,87,Startup,Low
M,59.6,Central,51,Central,Science,60,Others,No,75,Mkt&HR,59.08,Not Placed,5,76,4,0,82,Startup,High
F,66,Central,62,Central,Commerce,73,Comm&Mgmt,No,58,Mkt&HR,64.36,Placed,4,71,0,0,73,Startup,Low
F,84,Others,75,Others,Science,69,Sci&Tech,Yes,62,Mkt&HR,62.36,Placed,4,98,4,1,64,Startup,Low
F,85,Others,90,Others,Commerce,82,Comm&Mgmt,No,92,Mkt&Fin,68.03,Placed,1,94,4,1,79,MNC,Medium
M,52,Central,57,Central,Commerce,50.8,Comm&Mgmt,No,67,Mkt&HR,62.79,Not Placed,4,48,5,0,91,MNC,High
F,60.23,Central,69,Central,Science,66,Comm&Mgmt,No,72,Mkt&Fin,59.47,Placed,1,80,4,0,66,Mid,High
M,52,Central,62,Central,Commerce,54,Comm&Mgmt,No,72,Mkt&HR,55.41,Not Placed,0,74,2,1,54,MNC,High
M,58,Central,62,Central,Commerce,64,Comm&Mgmt,No,53.88,Mkt&Fin,54.97,Placed,3,58,3,1,78,MNC,High
M,73,Central,78,Others,Commerce,65,Comm&Mgmt,Yes,95.46,Mkt&Fin,62.16,Placed,3,87,1,0,53,Mid,Medium
F,76,Central,70,Central,Science,76,Comm&Mgmt,Yes,66,Mkt&Fin,64.44,Placed,3,55,2,0,59,MNC,Medium
F,70.5,Central,62.5,Others,Commerce,61,Comm&Mgmt,No,93.91,Mkt&Fin,69.03,Not Placed,4,42,4,1,66,Startup,Low
F,69,Central,73,Central,Commerce,65,Comm&Mgmt,No,70,Mkt&Fin,57.31,Placed,0,59,5,0,59,Startup,Low
M,54,Central,82,Others,Commerce,63,Sci&Tech,No,50,Mkt&Fin,59.47,Not Placed,4,63,0,0,66,Mid,Low
F,45,Others,57,Others,Commerce,58,Comm&Mgmt,Yes,56.39,Mkt&HR,64.95,Not Placed,4,93,4,0,69,Mid,Low
M,63,Central,72,Central,Commerce,68,Comm&Mgmt,No,78,Mkt&HR,60.44,Placed,0,95,5,1,73,Mid,Medium
F,77,Others,61,Others,Commerce,68,Comm&Mgmt,Yes,57.5,Mkt&Fin,61.31,Placed,0,72,3,1,54,Startup,High
M,73,Central,78,Central,Science,73,Sci&Tech,Yes,85,Mkt&HR,65.83,Placed,0,63,4,1,83,MNC,Medium
M,69,Central,63,Others,Science,65,Comm&Mgmt,Yes,55,Mkt&HR,58.23,Placed,0,91,0,1,55,Startup,Low
M,59,Central,64,Others,Science,58,Sci&Tech,No,85,Mkt&HR,55.3,Not Placed,3,50,5,1,51,Mid,Medium
M,61.08,Others,50,Others,Science,54,Sci&Tech,No,71,Mkt&Fin,65.69,Not Placed,2,88,5,1,62,MNC,High
M,82,Others,90,Others,Commerce,83,Comm&Mgmt,No,80,Mkt&HR,73.52,Placed,2,47,5,1,92,MNC,High
M,61,Central,82,Central,Commerce,69,Comm&Mgmt,No,84,Mkt&Fin,58.31,Placed,0,75,3,0,92,Startup,Medium
M,52,Central,63,Others,Science,65,Sci&Tech,Yes,86,Mkt&HR,56.09,Not Placed,2,77,4,0,97,Mid,Medium
F,69.5,Central,70,Central,Science,72,Sci&Tech,No,57.2,Mkt&HR,54.8,Placed,2,79,3,0,60,Startup,Medium
M,51,Others,54,Others,Science,61,Sci&Tech,No,60,Mkt&HR,60.64,Not Placed,0,59,1,0,96,MNC,Low
M,58,Others,61,Others,Commerce,61,Comm&Mgmt,No,58,Mkt&HR,53.94,Placed,2,74,1,0,72,Startup,Medium
F,73.96,Others,79,Others,Commerce,67,Comm&Mgmt,No,72.15,Mkt&Fin,63.08,Placed,4,87,4,0,65,Startup,Medium
M,65,Central,68,Others,Science,69,Comm&Mgmt,No,53.7,Mkt&HR,55.01,Placed,1,64,3,0,80,Mid,Medium
F,73,Others,63,Others,Science,66,Comm&Mgmt,No,89,Mkt&Fin,60.5,Placed,1,74,0,1,60,Mid,High
M,68.2,Central,72.8,Central,Commerce,66.6,Comm&Mgmt,Yes,96,Mkt&Fin,70.85,Placed,0,64,5,1,65,MNC,High
M,77,Others,75,Others,Science,73,Sci&Tech,No,80,Mkt&Fin,67.05,Placed,3,68,5,0,57,Startup,Low
M,76,Central,80,Central,Science,78,Sci&Tech,Yes,97,Mkt&HR,70.48,Placed,0,57,4,0,53,Startup,Low
M,60.8,Central,68.4,Central,Commerce,64.6,Comm&Mgmt,Yes,82.66,Mkt&Fin,64.34,Placed,3,85,1,1,89,Startup,High
M,58,Others,40,Others,Science,59,Comm&Mgmt,No,73,Mkt&HR,58.81,Not Placed,1,57,1,0,53,MNC,High
F,64,Central,67,Others,Science,69.6,Sci&Tech,Yes,55.67,Mkt&HR,71.49,Placed,0,41,5,0,74,MNC,High
F,66.5,Central,66.8,Central,Arts,69.3,Comm&Mgmt,Yes,80.4,Mkt&Fin,71,Placed,5,93,4,1,52,Mid,Medium
M,74,Others,59,Others,Commerce,73,Comm&Mgmt,Yes,60,Mkt&HR,56.7,Placed,4,74,3,0,81,Mid,Medium
M,67,Central,71,Central,Science,64.33,Others,Yes,64,Mkt&HR,61.26,Placed,2,55,1,1,52,Mid,High
F,84,Central,73,Central,Commerce,73,Comm&Mgmt,No,75,Mkt&Fin,73.33,Placed,3,80,3,0,76,Startup,Medium
F,79,Others,61,Others,Science,75.5,Sci&Tech,Yes,70,Mkt&Fin,68.2,Placed,5,75,1,1,78,Startup,Medium
F,72,Others,60,Others,Science,69,Comm&Mgmt,No,55.5,Mkt&HR,58.4,Placed,2,72,1,1,81,Mid,Low
M,80.4,Central,73.4,Central,Science,77.72,Sci&Tech,Yes,81.2,Mkt&HR,76.26,Placed,2,43,2,1,99,Startup,High
M,76.7,Central,89.7,Others,Commerce,66,Comm&Mgmt,Yes,90,Mkt&Fin,68.55,Placed,0,72,1,0,68,Mid,High
M,62,Central,65,Others,Commerce,60,Comm&Mgmt,No,84,Mkt&Fin,64.15,Not Placed,2,53,0,1,70,MNC,Medium
F,74.9,Others,57,Others,Science,62,Others,Yes,80,Mkt&Fin,60.78,Placed,4,60,4,0,54,Mid,High
M,67,Others,68,Others,Commerce,64,Comm&Mgmt,Yes,74.4,Mkt&HR,53.49,Placed,5,87,4,0,67,MNC,Low
M,73,Central,64,Others,Commerce,77,Comm&Mgmt,Yes,65,Mkt&HR,60.98,Placed,2,59,3,0,77,Startup,Low
F,77.44,Central,92,Others,Commerce,72,Comm&Mgmt,Yes,94,Mkt&Fin,67.13,Placed,0,95,1,0,91,Mid,Low
F,72,Central,56,Others,Science,69,Comm&Mgmt,No,55.6,Mkt&HR,65.63,Placed,4,47,0,1,71,Startup,High
F,47,Central,59,Central,Arts,64,Comm&Mgmt,No,78,Mkt&Fin,61.58,Not Placed,1,46,3,1,70,MNC,High
M,67,Others,63,Central,Commerce,72,Comm&Mgmt,No,56,Mkt&HR,60.41,Placed,5,42,2,0,55,MNC,High
F,82,Others,64,Others,Science,73,Sci&Tech,Yes,96,Mkt&Fin,71.77,Placed,2,56,3,0,50,MNC,High
M,77,Central,70,Central,Commerce,59,Comm&Mgmt,Yes,58,Mkt&Fin,54.43,Placed,0,72,3,1,54,Startup,High
M,65,Central,64.8,Others,Commerce,69.5,Comm&Mgmt,Yes,56,Mkt&Fin,56.94,Placed,1,87,1,0,90,Startup,Low
M,66,Central,64,Central,Science,60,Comm&Mgmt,No,60,Mkt&HR,61.9,Not Placed,1,51,2,1,61,Startup,Medium
M,85,Central,60,Others,Science,73.43,Sci&Tech,Yes,60,Mkt&Fin,61.29,Placed,3,98,3,0,75,Startup,Low
M,77.67,Others,64.89,Others,Commerce,70.67,Comm&Mgmt,No,89,Mkt&Fin,60.39,Placed,4,90,0,0,95,MNC,High
M,52,Others,50,Others,Arts,61,Comm&Mgmt,No,60,Mkt&Fin,58.52,Not Placed,2,61,0,1,83,MNC,Low
M,89.4,Others,65.66,Others,Science,71.25,Sci&Tech,No,72,Mkt&HR,63.23,Placed,0,94,4,0,98,Mid,High
M,62,Central,63,Others,Science,66,Comm&Mgmt,No,85,Mkt&HR,55.14,Placed,3,61,2,1,63,Mid,High
M,70,Central,74,Central,Commerce,65,Comm&Mgmt,No,83,Mkt&Fin,62.28,Placed,4,85,2,0,75,Startup,Low
F,77,Central,86,Central,Arts,56,Others,No,57,Mkt&Fin,64.08,Placed,3,69,4,0,94,MNC,High
M,44,Central,58,Central,Arts,55,Comm&Mgmt,Yes,64.25,Mkt&HR,58.54,Not Placed,5,77,3,0,76,MNC,Medium
M,71,Central,58.66,Central,Science,58,Sci&Tech,Yes,56,Mkt&Fin,61.3,Placed,4,77,2,1,58,MNC,High
M,65,Central,65,Central,Commerce,75,Comm&Mgmt,No,83,Mkt&Fin,58.87,Placed,4,84,0,0,75,Mid,Medium
F,75.4,Others,60.5,Central,Science,84,Sci&Tech,No,98,Mkt&Fin,65.25,Placed,2,90,0,0,96,Mid,Medium
M,49,Others,59,Others,Science,65,Sci&Tech,Yes,86,Mkt&Fin,62.48,Placed,4,93,1,0,71,MNC,High
M,53,Central,63,Others,Science,60,Comm&Mgmt,Yes,70,Mkt&Fin,53.2,Placed,3,47,2,0,96,MNC,Low
M,51.57,Others,74.66,Others,Commerce,59.9,Comm&Mgmt,Yes,56.15,Mkt&HR,65.99,Not Placed,4,66,3,1,79,MNC,Medium
M,84.2,Central,69.4,Central,Science,65,Sci&Tech,Yes,80,Mkt&HR,52.72,Placed,2,66,4,1,92,Mid,Low
M,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,No,93.4,Mkt&Fin,55.03,Placed,2,73,4,0,97,MNC,Medium
M,67,Others,63,Others,Science,64,Sci&Tech,No,60,Mkt&Fin,61.87,Not Placed,5,60,3,1,66,MNC,High
M,52,Central,49,Others,Commerce,58,Comm&Mgmt,No,62,Mkt&HR,60.59,Not Placed,3,69,5,0,75,Startup,High
M,87,Central,74,Central,Science,65,Sci&Tech,Yes,75,Mkt&HR,72.29,Placed,1,72,1,0,85,Startup,Medium
M,55.6,Others,51,Others,Commerce,57.5,Comm&Mgmt,No,57.63,Mkt&HR,62.72,Not Placed,1,67,4,0,50,Mid,High
M,74.2,Central,87.6,Others,Commerce,77.25,Comm&Mgmt,Yes,75.2,Mkt&Fin,66.06,Placed,4,86,2,1,57,MNC,Medium
M,63,Others,67,Others,Science,64,Sci&Tech,No,75,Mkt&Fin,66.46,Placed,5,72,1,1,98,MNC,High
F,67.16,Central,72.5,Central,Commerce,63.35,Comm&Mgmt,No,53.04,Mkt&Fin,65.52,Placed,0,44,2,1,84,Startup,Low
F,63.3,Central,78.33,Others,Commerce,74,Comm&Mgmt,No,80,Mkt&Fin,74.56,Not Placed,4,99,0,1,64,Mid,High
M,62,Others,62,Others,Commerce,60,Comm&Mgmt,Yes,63,Mkt&HR,52.38,Placed,5,87,1,1,96,Startup,Low
M,67.9,Others,62,Others,Science,67,Sci&Tech,Yes,58.1,Mkt&Fin,75.71,Not Placed,3,58,4,1,71,Startup,High
F,48,Central,51,Central,Commerce,58,Comm&Mgmt,Yes,60,Mkt&HR,58.79,Not Placed,3,43,1,1,63,Startup,Low
M,59.96,Others,42.16,Others,Science,61.26,Sci&Tech,No,54.48,Mkt&HR,65.48,Not Placed,3,74,1,1,75,Startup,High
F,63.4,Others,67.2,Others,Commerce,60,Comm&Mgmt,No,58.06,Mkt&HR,69.28,Not Placed,3,88,1,1,77,MNC,Low
M,80,Others,80,Others,Commerce,72,Comm&Mgmt,Yes,63.79,Mkt&Fin,66.04,Placed,3,56,5,0,72,MNC,Medium
M,73,Others,58,Others,Commerce,56,Comm&Mgmt,No,84,Mkt&HR,52.64,Placed,5,83,1,1,63,Startup,Medium
F,52,Others,52,Others,Science,55,Sci&Tech,No,67,Mkt&HR,59.32,Not Placed,5,67,2,1,73,Mid,Low
M,73.24,Others,50.83,Others,Science,64.27,Sci&Tech,Yes,64,Mkt&Fin,66.23,Placed,2,69,0,1,51,Mid,High
M,63,Others,62,Others,Science,65,Sci&Tech,No,87.5,Mkt&HR,60.69,Not Placed,1,68,3,1,94,Mid,Low
F,59,Central,60,Others,Commerce,56,Comm&Mgmt,No,55,Mkt&HR,57.9,Placed,3,85,1,1,75,Mid,High
F,73,Central,97,Others,Commerce,79,Comm&Mgmt,Yes,89,Mkt&Fin,70.81,Placed,0,92,4,1,63,Startup,Medium
M,68,Others,56,Others,Science,68,Sci&Tech,No,73,Mkt&HR,68.07,Placed,5,45,1,1,56,MNC,High
F,77.8,Central,64,Central,Science,64.2,Sci&Tech,No,75.5,Mkt&HR,72.14,Not Placed,0,74,4,1,52,Mid,Medium
M,65,Central,71.5,Others,Commerce,62.8,Comm&Mgmt,Yes,57,Mkt&Fin,56.6,Placed,0,99,2,1,96,Startup,High
M,62,Central,60.33,Others,Science,64.21,Sci&Tech,No,63,Mkt&HR,60.02,Not Placed,0,80,4,1,72,Mid,High
M,52,Others,65,Others,Arts,57,Others,Yes,75,Mkt&Fin,59.81,Not Placed,2,76,3,1,95,Mid,High
M,65,Central,77,Central,Commerce,69,Comm&Mgmt,No,60,Mkt&HR,61.82,Placed,5,63,0,0,92,Startup,Low
F,56.28,Others,62.83,Others,Commerce,59.79,Comm&Mgmt,No,60,Mkt&HR,57.29,Not Placed,0,68,4,0,96,MNC,Low
F,88,Central,72,Central,Science,78,Others,No,82,Mkt&HR,71.43,Placed,3,88,4,1,94,MNC,Medium
F,52,Central,64,Central,Commerce,61,Comm&Mgmt,No,55,Mkt&Fin,62.93,Not Placed,4,85,0,1,67,Startup,Medium
M,78.5,Central,65.5,Central,Science,67,Sci&Tech,Yes,95,Mkt&Fin,64.86,Placed,0,92,3,0,87,MNC,Low
M,61.8,Others,47,Others,Commerce,54.38,Comm&Mgmt,No,57,Mkt&Fin,56.13,Not Placed,2,70,1,1,84,Startup,Medium
F,54,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,No,95.65,Mkt&Fin,66.94,Not Placed,5,74,4,0,64,Startup,Low
F,64,Others,70.2,Central,Commerce,61,Comm&Mgmt,No,50,Mkt&Fin,62.5,Not Placed,2,99,0,0,74,Startup,High
M,67,Others,61,Central,Science,72,Comm&Mgmt,No,72,Mkt&Fin,61.01,Placed,0,72,2,0,86,MNC,Medium
M,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,Yes,93.4,Mkt&Fin,57.34,Placed,5,91,0,0,77,Startup,Medium
F,60,Central,63,Central,Arts,56,Others,Yes,80,Mkt&HR,56.63,Placed,4,60,2,0,59,Mid,Low
M,52,Others,55,Others,Commerce,56.3,Comm&Mgmt,No,59,Mkt&Fin,64.74,Not Placed,0,71,3,1,88,MNC,Medium
M,66,Central,76,Central,Commerce,72,Comm&Mgmt,Yes,84,Mkt&HR,58.95,Placed,2,62,1,0,66,MNC,Medium
M,72,Others,63,Others,Science,77.5,Sci&Tech,Yes,78,Mkt&Fin,54.48,Placed,1,72,0,1,88,MNC,High
F,83.96,Others,53,Others,Science,91,Sci&Tech,No,59.32,Mkt&HR,69.71,Placed,3,42,5,1,71,MNC,Medium
F,67,Central,70,Central,Commerce,65,Others,No,88,Mkt&HR,71.96,Not Placed,2,57,4,0,75,Mid,High
M,69,Others,65,Others,Commerce,57,Comm&Mgmt,No,73,Mkt&HR,55.8,Placed,5,64,3,0,93,MNC,Low
M,69,Others,60,Others,Commerce,65,Comm&Mgmt,No,87.55,Mkt&Fin,52.81,Placed,0,81,0,1,74,MNC,Medium
